id,Titre comment,Date de repinse,Reponse ou non,Liste peronnes,Nombre d'etoile
84,Tres mauvaise qualite !! La livraison a ete vraiment tres tres...,15 fevrier 2023,True,Showroomprive.com,1
85,Bonnet ne correspond pas du tout a la...,15 fevrier 2023,True,Showroomprive.com,1
86,arrive avec beaucoup de retard,15 fevrier 2023,True,Showroomprive.com,1
87,Commande mango,15 fevrier 2023,True,Showroomprive.com,2
88,Trois points relais et je n'ai toujours...,15 fevrier 2023,True,Showroomprive.com,1
89,J'ai passe une commande et je recois juste un morceau,15 fevrier 2023,True,Showroomprive.com,2
90,pas satisfaite du tout !,29 janvier 2023,True,Showroomprive.com,1
91,Bonjour,,True,Showroomprive.com,1
92,Augmentation des frais de...,12 fevrier 2023,True,Showroomprive.com,1
93,m'a livre une valise d'une autre...,12 fevrier 2023,True,Showroomprive.com,1
94,Encore un colis non recu.,12 fevrier 2023,True,Showroomprive.com,2
95,Bonjour,12 fevrier 2023,True,Showroomprive.com,2
96,prix pas correct,12 fevrier 2023,True,Showroomprive.com,1
97,Livraison en retard colis volumineux...,10 fevrier 2023,True,Showroomprive.com,2
98,Je n'ai recu qu'une partie de ma...,12 fevrier 2023,True,Showroomprive.com,2
99,Sur 6 bold un malheureusement un etait...,12 fevrier 2023,True,Showroomprive.com,1
100,Decu sa taille beaucoup trop grand et...,12 fevrier 2023,True,Showroomprive.com,1
101,Pas du tout satisfait !!,12 fevrier 2023,True,Showroomprive.com,1
102,Je n'ai pas recu ce que j'avais commande,10 fevrier 2023,True,Showroomprive.com,1
103,VOLEURS,,True,Showroomprive.com,1
104,Objet non conforme a la photo du site Giovale,11 fevrier 2023,True,Showroomprive.com,1
105,Commande livree partiellement mais je...,11 fevrier 2023,True,Showroomprive.com,1
106,Ma commande aurait du arriver le 6...,11 fevrier 2023,True,Showroomprive.com,1
107,Frais de livraison hors de prix!,11 fevrier 2023,True,Showroomprive.com,1
108,Je suis cliente chez showroom prive...,,True,Showroomprive.com,1
109,taies d'oreillers,06 fevrier 2023,True,Showroomprive.com,2
110,Mon colis est arrive complement...,08 fevrier 2023,True,Showroomprive.com,1
111,Article recu en prix et taille inferieur a celui commande et paye..attends reponse Pour cette commande j'ai recu un...,10 fevrier 2023,True,Showroomprive.com,2
112,Tres joli sac a main mais... impossible...,10 fevrier 2023,True,Showroomprive.com,1
113,livraison 3 jours apres la date prevue...,10 fevrier 2023,True,Showroomprive.com,2
114,J'ai commande une table basse il y...,10 fevrier 2023,True,Showroomprive.com,1
115,Boite en bois d'allumettes,10 fevrier 2023,True,Showroomprive.com,2
116,Le produit recu n'est pas conforme a...,10 fevrier 2023,True,Showroomprive.com,1
117,Les frais de livraison sont une honte...,09 fevrier 2023,True,Showroomprive.com,1
118,Le produit correspondait mais emballage laissant vraiment a desirer !,09 fevrier 2023,True,Showroomprive.com,2
119,Vous avez annule des produits juste...,09 fevrier 2023,True,Showroomprive.com,1
120,SAV a deplorer,,True,Showroomprive.com,1
121,commande minoi design...,09 fevrier 2023,True,Showroomprive.com,2
122,J'ai failli me faire avoir,,True,Showroomprive.com,1
123,Un service desastreux !,,True,Showroomprive.com,1
124,Trop Decue,01 fevrier 2023,True,Showroomprive.com,1
125,Deception sur toute la ligne,03 fevrier 2023,True,Showroomprive.com,1
126,Marchandise non conforme a la commande,06 fevrier 2023,True,Showroomprive.com,1
127,produit endommage,04 fevrier 2023,True,Showroomprive.com,1
128,Montre Hs,04 fevrier 2023,True,Showroomprive.com,1
129,1 etoile car je ne pouvais n'en mettre...,,True,Showroomprive.com,1
130,LIT BED CORNER INCOMPLET,,True,Showroomprive.com,1
131,MAUVAISE EXPERIENCE AVEC ALIZEA,02 fevrier 2023,True,Showroomprive.com,2
132,La description est fausse,03 fevrier 2023,True,Showroomprive.com,1
133,Votre fournisseur c'est debarrasse des...,25 janvier 2023,True,Showroomprive.com,1
134,Envoi d'un produit au lieu de 3,03 fevrier 2023,True,Showroomprive.com,2
135,Commande et Livraison,02 fevrier 2023,True,Showroomprive.com,2
136,La livraison ok mais l'article est de...,03 fevrier 2023,True,Showroomprive.com,2
137,Showroomprive un site d'arnaque,,True,Showroomprive.com,1
138,Mecontentement,11 janvier 2023,True,Showroomprive.com,1
139,Fausse promotion Je commande 2 valises a 50 % je n'en...,,True,Showroomprive.com,1
140,Vraiment decu recu qu'un article sur 2,02 fevrier 2023,True,Showroomprive.com,2
