,Titre comment,Date de réponse,Reponse ou non,Liste peronnes,Nombre d'étoile
2644,Service après vente pitoyable,30 mai 2021,True,Showroomprive.com,1
2645,Honteux !!!,30 mai 2021,True,Showroomprive.com,1
2646,Commande arrivée incomplète sans…,29 mai 2021,True,Showroomprive.com,1
2647,A Fuir !! Arnaque iphone reconditionné,29 mai 2021,True,Showroomprive.com,1
2648,cliente déçue !,21 octobre 2020,True,Showroomprive.com,1
2649,Service client qui raccroche au nez,29 mai 2021,True,Showroomprive.com,1
2650,je suis très déçu de showroomprive c…,28 mai 2021,True,Showroomprive.com,1
2651,SAV DESOEUVRANT !,28 mai 2021,True,Showroomprive.com,1
2652,Trés mauvaises expériences ces derniers…,14 mai 2021,True,Showroomprive.com,1
2653,La pire expérience client sur un site en ligne,28 mai 2021,True,Showroomprive.com,1
2654,Expérience désastreuse,28 mai 2021,True,Showroomprive.com,1
2655,Expérience désastreuse,26 mai 2021,True,Showroomprive.com,1
2656,Très très déçu du site car commande…,27 mai 2021,True,Showroomprive.com,2
2657,Dernièrement le site n’a jamais voulu…,27 mai 2021,True,Showroomprive.com,1
2658,Mauvaise commande,21 mai 2021,True,Showroomprive.com,1
2659,Erreur de cde et Service client,27 mai 2021,True,Showroomprive.com,1
2660,Boucles d’oreilles arrivées cassées,26 mai 2021,True,Showroomprive.com,1
2661,Les articles reçus ne sont pas de la…,26 mai 2021,True,Showroomprive.com,1
2662,A fuir!!!!,26 mai 2021,True,Showroomprive.com,1
2663,Décevant,26 mai 2021,True,Showroomprive.com,1
2664,J ai renvoyé un colis qui est arrivé…,25 mai 2021,True,Showroomprive.com,1
2665,J'ai commandé un article sur SHOWROOPRIVE.COM,25 mai 2021,True,Showroomprive.com,1
2666,Très déçu cela fait 2 fois que je…,25 mai 2021,True,Showroomprive.com,1
2667,Valise reçue qui ne correspond pas au…,25 mai 2021,True,Showroomprive.com,2
2668,J’avais l’habitude de commander…,24 mai 2021,True,Showroomprive.com,1
2669,A fuir totalement,24 mai 2021,True,Showroomprive.com,1
2670,Site pas sérieux et mensonger!,23 mai 2021,True,Showroomprive.com,1
2671,Pas top,23 mai 2021,True,Showroomprive.com,2
2672,Commande incomplète,22 mai 2021,True,Showroomprive.com,1
2673,Suite à une commande le point relais a…,22 mai 2021,True,Showroomprive.com,1
2674,Bonjour,22 mai 2021,True,Showroomprive.com,1
2675,Pas sérieux...,22 mai 2021,True,Showroomprive.com,1
2676,Commande perla Isla 75 euros de bijoux…,22 mai 2021,True,Showroomprive.com,1
2677,Je met 1 étoile car je ne peu mettre…,22 mai 2021,True,Showroomprive.com,1
2678,Un mot un seul Fuyez !,21 mai 2021,True,Showroomprive.com,1
2679,Première expérience catastrophique,21 mai 2021,True,Showroomprive.com,1
2680,Déçu,21 mai 2021,True,Showroomprive.com,1
2681,Problème de livraison,21 mai 2021,True,Showroomprive.com,1
2682,Showroom c’est plus ce que c’était je recommande pas,21 mai 2021,True,Showroomprive.com,1
2683,Produits manquants à chaque commande,21 mai 2021,True,Showroomprive.com,1
2684,FRAIS DE RETOUR INADMISSIBLE,19 mai 2021,True,Showroomprive.com,1
2685,Très déçu de showroom,19 mai 2021,True,Showroomprive.com,1
2686,Service de plus en plus dégradé,19 mai 2021,True,Showroomprive.com,1
2687,J ai passer une commande pour la vente…,19 mai 2021,True,Showroomprive.com,1
2688,Nullissime,19 mai 2021,True,Showroomprive.com,1
2689,Service après vente déplorable,18 mai 2021,True,Showroomprive.com,1
2690,Je suis Furieuse,18 mai 2021,True,Showroomprive.com,1
2691,Je ne recommande pas ce site.,18 mai 2021,True,Showroomprive.com,1
2692,Service qui s'est plus que dégradé !,17 mai 2021,True,Showroomprive.com,1
2693,La déception de trop...,18 mai 2021,True,Showroomprive.com,1
2694,Jusqu'à présent je commandais…,31 mars 2021,True,Showroomprive.com,1
2695,Suppression compte et données,17 mai 2021,True,Showroomprive.com,1
2696,Franchement pas très satisfait,14 mai 2021,True,Showroomprive.com,1
2697,Des escrocs,16 mai 2021,True,Showroomprive.com,1
2698,Bonjour,16 mai 2021,True,Showroomprive.com,1
2699,J'ai commandé une montre qui n'a jamais…,16 mai 2021,True,Showroomprive.com,1
2700,J’ai commander un article qui devait…,16 mai 2021,True,Showroomprive.com,1
2701,bjrs je ne reviendraie aucunement chez vous comme clientele,16 mai 2021,True,Showroomprive.com,1
2702,J'ai bénéficié d un avantage parrainage…,15 mai 2021,True,Showroomprive.com,1
2703,BonjourARNAQUE,15 mai 2021,True,Showroomprive.com,1
2704,Commandé 4 articles 2 haut et deux…,15 mai 2021,True,Showroomprive.com,1
2705,Passer commande chez Showroomprive le…,16 avril 2021,True,Showroomprive.com,1
2706,Incompetence complete pour la preparation des commandes,14 mai 2021,True,Showroomprive.com,1
2707,L histoire ce répète pour la 2 nd fois…,14 mai 2021,True,Showroomprive.com,1
2708,Retour mal expliqué,14 mai 2021,True,Showroomprive.com,1
2709,Personnel au téléphone peu sympathique,14 mai 2021,True,Showroomprive.com,1
2710,Attention a eviter !!!,13 mai 2021,True,Showroomprive.com,1
2711,Nul !,13 mai 2021,True,Showroomprive.com,2
2712,Je vais supprimer l'application je ne…,27 avril 2021,True,Showroomprive.com,1
2713,A fuir !!,12 mai 2021,True,Showroomprive.com,1
2714,C'est une honte,12 mai 2021,True,Showroomprive.com,1
2715,RETOUR PAYANT POUR ARTICLES MAL TAILLéS,12 mai 2021,True,Showroomprive.com,1
2716,Des guignols !!!,12 mai 2021,True,Showroomprive.com,1
2717,leur direction a apparemment changé,12 mai 2021,True,Showroomprive.com,1
2718,C’est des vrais voleurs,11 mai 2021,True,Showroomprive.com,1
2719,Carte infinity,11 mai 2021,True,Showroomprive.com,1
2720,Bonjour j’ai commandé des boucles…,11 mai 2021,True,Showroomprive.com,1
2721,Nul nul 👎,11 mai 2021,True,Showroomprive.com,1
2722,Je n ai pas aimé,11 mai 2021,True,Showroomprive.com,1
2723,Arnaque,11 mai 2021,True,Showroomprive.com,1
2724,Ne commandez pas chez eux,06 mai 2021,True,Showroomprive.com,1
2725,Nul nul nul nul nul nul nul......,10 mai 2021,True,Showroomprive.com,1
2726,Deuxième commande et deuxieme problème…,09 mai 2021,True,Showroomprive.com,1
2727,J’ai effectué 2 commandes et 2…,09 mai 2021,True,Showroomprive.com,1
2728,Le pire vendeur sur le net,05 avril 2021,True,Showroomprive.com,1
2729,Très mauvaise expérience,08 mai 2021,True,Showroomprive.com,1
2730,Showroomprivé ? C quoi ?,07 mai 2021,True,Showroomprive.com,1
2731,Je ne comprends pas que Showroom ne…,16 décembre 2020,True,Showroomprive.com,1
2732,Très déçu par la qualité des articles…,07 mai 2021,True,Showroomprive.com,1
2733,Déçue du changement de date de livraison,07 mai 2021,True,Showroomprive.com,1
2734,Client habituel...,06 mai 2021,True,Showroomprive.com,1
2735,Une erreur dans la commande,05 mai 2021,True,Showroomprive.com,1
2736,Si ils ne mettent pas un mois à envoyer…,05 mai 2021,True,Showroomprive.com,2
2737,Prise en charge médiocre,05 mai 2021,True,Showroomprive.com,1
